Tier;FICO;Approve Date;Term;Amount;Previous APR;Car  Type;Competition APR;Accept;APR;Prime;Partner Bin
2;702;02-07-2002;60;22000; ;U;5,85;0;6,19;1,84;3
2;710;03-07-2002;60;21000; ;U;5,85;0;6,19;1,84;1
3;693;06-07-2002;60;19598; ;U;5,85;1;7,29;1,84;1
3;696;06-07-2002;60;23071; ;U;5,85;0;7,29;1,84;3
3;697;08-07-2002;60;21578; ;U;5,80;1;7,29;1,84;2
2;702;08-07-2002;60;20211; ;U;5,80;1;6,19;1,84;2
2;709;10-07-2002;60;21051; ;U;5,80;1;6,19;1,84;1
3;690;12-07-2002;60;21498; ;U;5,80;0;7,29;1,84;1
3;684;13-07-2002;60;18000; ;U;5,80;1;7,29;1,84;3
2;706;15-07-2002;60;24025; ;U;5,80;0;6,19;1,84;1
2;704;15-07-2002;60;23000; ;U;5,80;0;6,19;1,84;3
3;693;16-07-2002;60;19620; ;U;5,80;1;6,59;1,84;2
2;702;17-07-2002;60;24227; ;U;5,80;1;5,35;1,84;1
2;705;18-07-2002;60;21262; ;U;5,80;0;5,69;1,84;1
3;692;19-07-2002;60;25000; ;U;5,80;0;6,59;1,84;1
2;702;19-07-2002;60;19071; ;U;5,80;1;5,69;1,84;3
2;705;22-07-2002;60;20000; ;U;5,75;0;5,69;1,84;1
2;709;22-07-2002;60;21678; ;U;5,75;1;5,69;1,84;3
2;706;22-07-2002;60;23600; ;U;5,75;0;5,69;1,84;1
3;708;23-07-2002;60;18000; ;U;5,75;1;6,44;1,84;3
2;702;25-07-2002;60;20845; ;U;5,75;0;5,69;1,82;1
3;695;26-07-2002;60;25000; ;U;5,75;0;6,59;1,81;3
3;699;27-07-2002;60;23528; ;U;5,75;0;6,59;1,81;3
3;691;27-07-2002;60;18700; ;U;5,75;0;6,59;1,81;3
3;693;30-07-2002;60;22000; ;U;5,75;0;6,59;1,82;1
2;709;06-08-2002;60;24767; ;U;5,75;0;5,35;1,78;3
3;688;07-08-2002;60;20000; ;U;5,75;0;6,44;1,78;3
2;711;09-08-2002;60;20827; ;U;5,75;1;5,35;1,78;3
3;688;10-08-2002;60;23543; ;U;5,75;0;6,44;1,78;1
3;685;11-08-2002;60;18151; ;U;5,75;1;5,76;1,78;1
3;685;11-08-2002;60;19465; ;U;5,75;1;6,44;1,78;3
2;704;13-08-2002;60;18513; ;U;5,75;1;5,35;1,78;3
3;688;14-08-2002;60;18004; ;U;5,75;1;6,44;1,78;3
2;712;15-08-2002;60;22000; ;U;5,75;0;5,35;1,79;1
2;706;15-08-2002;60;21006; ;U;5,75;1;5,35;1,79;3
3;694;18-08-2002;60;20590; ;U;5,75;1;6,44;1,80;1
3;693;19-08-2002;60;17850; ;U;5,75;0;6,44;1,81;3
3;711;22-08-2002;60;18971; ;U;5,75;1;5,99;1,81;3
2;711;23-08-2002;60;25000; ;U;5,75;0;4,89;1,81;1
3;693;23-08-2002;60;20640; ;U;5,75;1;6,44;1,81;2
2;707;25-08-2002;60;25000; ;U;5,75;0;5,35;1,81;1
